Listing of Array trace data
     px      py error            xout            yout   trans
 -0.250   0.350     0   -3.515257E-03    4.921359E-03  1.0000
 -0.250   0.400     0   -3.248854E-03    5.198167E-03  1.0000
 -0.250   0.450     0   -2.954885E-03    5.318793E-03  1.0000
 -0.250   0.500     0   -2.636611E-03    5.273223E-03  1.0000
 -0.200  -0.500     0   -2.228800E-03   -5.572000E-03  1.0000
 -0.200  -0.450     0   -2.487560E-03   -5.597010E-03  1.0000
 -0.200  -0.400     0   -2.726334E-03   -5.452667E-03  1.0000
 -0.200  -0.350     0   -2.942550E-03   -5.149462E-03  1.0000
 -0.200  -0.300     0   -3.134032E-03   -4.701048E-03  1.0000
 -0.200  -0.250     0   -3.298964E-03   -4.123705E-03  1.0000
 -0.200  -0.200     0   -3.435856E-03   -3.435856E-03  1.0000
 -0.200  -0.150     0   -3.543523E-03   -2.657642E-03  1.0000
 -0.200  -0.100     0   -3.621060E-03   -1.810530E-03  1.0000
 -0.200  -0.050     0   -3.667834E-03   -9.169584E-04  1.0000
 -0.200   0.000     0   -3.683467E-03    0.000000E+00  1.0000
 -0.200   0.050     0   -3.667834E-03    9.169584E-04  1.0000
 -0.200   0.100     0   -3.621060E-03    1.810530E-03  1.0000
 -0.200   0.150     0   -3.543523E-03    2.657642E-03  1.0000
 -0.200   0.200     0   -3.435856E-03    3.435856E-03  1.0000
 -0.200   0.250     0   -3.298964E-03    4.123705E-03  1.0000
 -0.200   0.300     0   -3.134032E-03    4.701048E-03  1.0000
 -0.200   0.350     0   -2.942550E-03    5.149462E-03  1.0000
 -0.200   0.400     0   -2.726334E-03    5.452667E-03  1.0000
 -0.200   0.450     0   -2.487560E-03    5.597010E-03  1.0000
 -0.200   0.500     0   -2.228800E-03    5.572000E-03  1.0000
 -0.150  -0.500     0   -1.742341E-03   -5.807804E-03  1.0000
 -0.150  -0.450     0   -1.938795E-03   -5.816386E-03  1.0000
 -0.150  -0.400     0   -2.119948E-03   -5.653194E-03  1.0000
 -0.150  -0.350     0   -2.283891E-03   -5.329080E-03  1.0000
 -0.150  -0.300     0   -2.429013E-03   -4.858025E-03  1.0000
 -0.150  -0.250     0   -2.553964E-03   -4.256607E-03  1.0000
 -0.150  -0.200     0   -2.657642E-03   -3.543523E-03  1.0000
 -0.150  -0.150     0   -2.739166E-03   -2.739166E-03  1.0000
 -0.150  -0.100     0   -2.797867E-03   -1.865245E-03  1.0000
 -0.150  -0.050     0   -2.833274E-03   -9.444246E-04  1.0000
 -0.150   0.000     0   -2.845107E-03    0.000000E+00  1.0000
 -0.150   0.050     0   -2.833274E-03    9.444246E-04  1.0000
 -0.150   0.100     0   -2.797867E-03    1.865245E-03  1.0000
 -0.150   0.150     0   -2.739166E-03    2.739166E-03  1.0000
 -0.150   0.200     0   -2.657642E-03    3.543523E-03  1.0000
 -0.150   0.250     0   -2.553964E-03    4.256607E-03  1.0000
 -0.150   0.300     0   -2.429013E-03    4.858025E-03  1.0000
 -0.150   0.350     0   -2.283891E-03    5.329080E-03  1.0000
 -0.150   0.400     0   -2.119948E-03    5.653194E-03  1.0000
 -0.150   0.450     0   -1.938795E-03    5.816386E-03  1.0000
 -0.150   0.500     0   -1.742341E-03    5.807804E-03  1.0000
 -0.100  -0.500     0   -1.195610E-03   -5.978048E-03  1.0000
 -0.100  -0.450     0   -1.327703E-03   -5.974666E-03  1.0000
 -0.100  -0.400     0   -1.449449E-03   -5.797796E-03  1.0000
 -0.100  -0.350     0   -1.559585E-03   -5.458547E-03  1.0000
 -0.100  -0.300     0   -1.657044E-03   -4.971132E-03  1.0000
 -0.100  -0.250     0   -1.740936E-03   -4.352340E-03  1.0000
 -0.100  -0.200     0   -1.810530E-03   -3.621060E-03  1.0000
 -0.100  -0.150     0   -1.865245E-03   -2.797867E-03  1.0000
 -0.100  -0.100     0   -1.904637E-03   -1.904637E-03  1.0000
 -0.100  -0.050     0   -1.928395E-03   -9.641977E-04  1.0000
 -0.100   0.000     0   -1.936335E-03    0.000000E+00  1.0000
 -0.100   0.050     0   -1.928395E-03    9.641977E-04  1.0000
 -0.100   0.100     0   -1.904637E-03    1.904637E-03  1.0000
 -0.100   0.150     0   -1.865245E-03    2.797867E-03  1.0000
 -0.100   0.200     0   -1.810530E-03    3.621060E-03  1.0000
 -0.100   0.250     0   -1.740936E-03    4.352340E-03  1.0000
 -0.100   0.300     0   -1.657044E-03    4.971132E-03  1.0000
 -0.100   0.350     0   -1.559585E-03    5.458547E-03  1.0000
 -0.100   0.400     0   -1.449449E-03    5.797796E-03  1.0000
 -0.100   0.450     0   -1.327703E-03    5.974666E-03  1.0000
 -0.100   0.500     0   -1.195610E-03    5.978048E-03  1.0000
 -0.050  -0.500     0   -6.080913E-04   -6.080913E-03  1.0000
 -0.050  -0.450     0   -6.744734E-04   -6.070261E-03  1.0000
 -0.050  -0.400     0   -7.356374E-04   -5.885099E-03  1.0000
 -0.050  -0.350     0   -7.909557E-04   -5.536690E-03  1.0000
 -0.050  -0.300     0   -8.398976E-04   -5.039385E-03  1.0000
 -0.050  -0.250     0   -8.820196E-04   -4.410098E-03  1.0000
 -0.050  -0.200     0   -9.169584E-04   -3.667834E-03  1.0000
 -0.050  -0.150     0   -9.444246E-04   -2.833274E-03  1.0000
 -0.050  -0.100     0   -9.641977E-04   -1.928395E-03  1.0000
 -0.050  -0.050     0   -9.761229E-04   -9.761229E-04  1.0000
 -0.050   0.000     0   -9.801081E-04    0.000000E+00  1.0000
 -0.050   0.050     0   -9.761229E-04    9.761229E-04  1.0000
 -0.050   0.100     0   -9.641977E-04    1.928395E-03  1.0000
 -0.050   0.150     0   -9.444246E-04    2.833274E-03  1.0000
 -0.050   0.200     0   -9.169584E-04    3.667834E-03  1.0000
 -0.050   0.250     0   -8.820196E-04    4.410098E-03  1.0000
 -0.050   0.300     0   -8.398976E-04    5.039385E-03  1.0000
 -0.050   0.350     0   -7.909557E-04    5.536690E-03  1.0000
 -0.050   0.400     0   -7.356374E-04    5.885099E-03  1.0000
 -0.050   0.450     0   -6.744734E-04    6.070261E-03  1.0000
 -0.050   0.500     0   -6.080913E-04    6.080913E-03  1.0000
  0.000  -0.500     0    0.000000E+00   -6.115320E-03  1.0000
  0.000  -0.450     0    0.000000E+00   -6.102230E-03  1.0000
  0.000  -0.400     0    0.000000E+00   -5.914290E-03  1.0000
  0.000  -0.350     0    0.000000E+00   -5.562815E-03  1.0000
  0.000  -0.300     0    0.000000E+00   -5.062201E-03  1.0000
  0.000  -0.250     0    0.000000E+00   -4.429403E-03  1.0000
  0.000  -0.200     0    0.000000E+00   -3.683467E-03  1.0000
  0.000  -0.150     0    0.000000E+00   -2.845107E-03  1.0000
  0.000  -0.100     0    0.000000E+00   -1.936335E-03  1.0000
  0.000  -0.050     0    0.000000E+00   -9.801081E-04  1.0000
  0.000   0.000     0    0.000000E+00    0.000000E+00  1.0000
  0.000   0.050     0    0.000000E+00    9.801081E-04  1.0000
  0.000   0.100     0    0.000000E+00    1.936335E-03  1.0000
  0.000   0.150     0    0.000000E+00    2.845107E-03  1.0000
  0.000   0.200     0    0.000000E+00    3.683467E-03  1.0000
  0.000   0.250     0    0.000000E+00    4.429403E-03  1.0000
  0.000   0.300     0    0.000000E+00    5.062201E-03  1.0000
  0.000   0.350     0    0.000000E+00    5.562815E-03  1.0000
  0.000   0.400     0    0.000000E+00    5.914290E-03  1.0000
  0.000   0.450     0    0.000000E+00    6.102230E-03  1.0000
  0.000   0.500     0    0.000000E+00    6.115320E-03  1.0000
  0.050  -0.500     0    6.080913E-04   -6.080913E-03  1.0000
  0.050  -0.450     0    6.744734E-04   -6.070261E-03  1.0000
  0.050  -0.400     0    7.356374E-04   -5.885099E-03  1.0000
  0.050  -0.350     0    7.909557E-04   -5.536690E-03  1.0000
  0.050  -0.300     0    8.398976E-04   -5.039385E-03  1.0000
  0.050  -0.250     0    8.820196E-04   -4.410098E-03  1.0000
  0.050  -0.200     0    9.169584E-04   -3.667834E-03  1.0000
  0.050  -0.150     0    9.444246E-04   -2.833274E-03  1.0000
  0.050  -0.100     0    9.641977E-04   -1.928395E-03  1.0000
  0.050  -0.050     0    9.761229E-04   -9.761229E-04  1.0000
  0.050   0.000     0    9.801081E-04    0.000000E+00  1.0000
  0.050   0.050     0    9.761229E-04    9.761229E-04  1.0000
  0.050   0.100     0    9.641977E-04    1.928395E-03  1.0000
  0.050   0.150     0    9.444246E-04    2.833274E-03  1.0000
  0.050   0.200     0    9.169584E-04    3.667834E-03  1.0000
  0.050   0.250     0    8.820196E-04    4.410098E-03  1.0000
  0.050   0.300     0    8.398976E-04    5.039385E-03  1.0000
  0.050   0.350     0    7.909557E-04    5.536690E-03  1.0000
  0.050   0.400     0    7.356374E-04    5.885099E-03  1.0000
  0.050   0.450     0    6.744734E-04    6.070261E-03  1.0000
  0.050   0.500     0    6.080913E-04    6.080913E-03  1.0000
  0.100  -0.500     0    1.195610E-03   -5.978048E-03  1.0000
  0.100  -0.450     0    1.327703E-03   -5.974666E-03  1.0000
  0.100  -0.400     0    1.449449E-03   -5.797796E-03  1.0000
  0.100  -0.350     0    1.559585E-03   -5.458547E-03  1.0000
  0.100  -0.300     0    1.657044E-03   -4.971132E-03  1.0000
  0.100  -0.250     0    1.740936E-03   -4.352340E-03  1.0000
  0.100  -0.200     0    1.810530E-03   -3.621060E-03  1.0000
  0.100  -0.150     0    1.865245E-03   -2.797867E-03  1.0000
  0.100  -0.100     0    1.904637E-03   -1.904637E-03  1.0000
  0.100  -0.050     0    1.928395E-03   -9.641977E-04  1.0000
  0.100   0.000     0    1.936335E-03    0.000000E+00  1.0000
  0.100   0.050     0    1.928395E-03    9.641977E-04  1.0000
  0.100   0.100     0    1.904637E-03    1.904637E-03  1.0000
  0.100   0.150     0    1.865245E-03    2.797867E-03  1.0000
  0.100   0.200     0    1.810530E-03    3.621060E-03  1.0000
  0.100   0.250     0    1.740936E-03    4.352340E-03  1.0000
  0.100   0.300     0    1.657044E-03    4.971132E-03  1.0000
  0.100   0.350     0    1.559585E-03    5.458547E-03  1.0000
  0.100   0.400     0    1.449449E-03    5.797796E-03  1.0000
  0.100   0.450     0    1.327703E-03    5.974666E-03  1.0000
  0.100   0.500     0    1.195610E-03    5.978048E-03  1.0000
  0.150  -0.500     0    1.742341E-03   -5.807804E-03  1.0000
  0.150  -0.450     0    1.938795E-03   -5.816386E-03  1.0000
  0.150  -0.400     0    2.119948E-03   -5.653194E-03  1.0000
  0.150  -0.350     0    2.283891E-03   -5.329080E-03  1.0000
  0.150  -0.300     0    2.429013E-03   -4.858025E-03  1.0000
  0.150  -0.250     0    2.553964E-03   -4.256607E-03  1.0000
  0.150  -0.200     0    2.657642E-03   -3.543523E-03  1.0000
  0.150  -0.150     0    2.739166E-03   -2.739166E-03  1.0000
  0.150  -0.100     0    2.797867E-03   -1.865245E-03  1.0000
  0.150  -0.050     0    2.833274E-03   -9.444246E-04  1.0000
  0.150   0.000     0    2.845107E-03    0.000000E+00  1.0000
  0.150   0.050     0    2.833274E-03    9.444246E-04  1.0000
  0.150   0.100     0    2.797867E-03    1.865245E-03  1.0000
  0.150   0.150     0    2.739166E-03    2.739166E-03  1.0000
  0.150   0.200     0    2.657642E-03    3.543523E-03  1.0000
  0.150   0.250     0    2.553964E-03    4.256607E-03  1.0000
  0.150   0.300     0    2.429013E-03    4.858025E-03  1.0000
  0.150   0.350     0    2.283891E-03    5.329080E-03  1.0000
  0.150   0.400     0    2.119948E-03    5.653194E-03  1.0000
  0.150   0.450     0    1.938795E-03    5.816386E-03  1.0000
  0.150   0.500     0    1.742341E-03    5.807804E-03  1.0000
  0.200  -0.500     0    2.228800E-03   -5.572000E-03  1.0000
  0.200  -0.450     0    2.487560E-03   -5.597010E-03  1.0000
  0.200  -0.400     0    2.726334E-03   -5.452667E-03  1.0000
  0.200  -0.350     0    2.942550E-03   -5.149462E-03  1.0000
  0.200  -0.300     0    3.134032E-03   -4.701048E-03  1.0000
  0.200  -0.250     0    3.298964E-03   -4.123705E-03  1.0000
  0.200  -0.200     0    3.435856E-03   -3.435856E-03  1.0000
  0.200  -0.150     0    3.543523E-03   -2.657642E-03  1.0000
  0.200  -0.100     0    3.621060E-03   -1.810530E-03  1.0000
  0.200  -0.050     0    3.667834E-03   -9.169584E-04  1.0000
  0.200   0.000     0    3.683467E-03    0.000000E+00  1.0000
  0.200   0.050     0    3.667834E-03    9.169584E-04  1.0000
  0.200   0.100     0    3.621060E-03    1.810530E-03  1.0000
  0.200   0.150     0    3.543523E-03    2.657642E-03  1.0000
  0.200   0.200     0    3.435856E-03    3.435856E-03  1.0000
  0.200   0.250     0    3.298964E-03    4.123705E-03  1.0000
  0.200   0.300     0    3.134032E-03    4.701048E-03  1.0000
  0.200   0.350     0    2.942550E-03    5.149462E-03  1.0000
  0.200   0.400     0    2.726334E-03    5.452667E-03  1.0000
  0.200   0.450     0    2.487560E-03    5.597010E-03  1.0000
  0.200   0.500     0    2.228800E-03    5.572000E-03  1.0000
  0.250  -0.500     0    2.636611E-03   -5.273223E-03  1.0000
  0.250  -0.450     0    2.954885E-03   -5.318793E-03  1.0000
  0.250  -0.400     0    3.248854E-03   -5.198167E-03  1.0000
  0.250  -0.350     0    3.515257E-03   -4.921359E-03  1.0000
  0.250  -0.300     0    3.751333E-03   -4.501599E-03  1.0000
  0.250  -0.250     0    3.954779E-03   -3.954779E-03  1.0000
  0.250  -0.200     0    4.123705E-03   -3.298964E-03  1.0000
  0.250  -0.150     0    4.256607E-03   -2.553964E-03  1.0000
  0.250  -0.100     0    4.352340E-03   -1.740936E-03  1.0000
  0.250  -0.050     0    4.410098E-03   -8.820196E-04  1.0000
  0.250   0.000     0    4.429403E-03    0.000000E+00  1.0000
  0.250   0.050     0    4.410098E-03    8.820196E-04  1.0000
  0.250   0.100     0    4.352340E-03    1.740936E-03  1.0000
  0.250   0.150     0    4.256607E-03    2.553964E-03  1.0000
  0.250   0.200     0    4.123705E-03    3.298964E-03  1.0000
  0.250   0.250     0    3.954779E-03    3.954779E-03  1.0000
  0.250   0.300     0    3.751333E-03    4.501599E-03  1.0000
  0.250   0.350     0    3.515257E-03    4.921359E-03  1.0000
  0.250   0.400     0    3.248854E-03    5.198167E-03  1.0000
  0.250   0.450     0    2.954885E-03    5.318793E-03  1.0000
  0.250   0.500     0    2.636611E-03    5.273223E-03  1.0000
  0.300  -0.500     0    2.948922E-03   -4.914870E-03  1.0000
  0.300  -0.450     0    3.323134E-03   -4.984701E-03  1.0000
  0.300  -0.400     0    3.669192E-03   -4.892256E-03  1.0000
  0.300  -0.350     0    3.983110E-03   -4.646962E-03  1.0000
  0.300  -0.300     0    4.261518E-03   -4.261518E-03  1.0000
  0.300  -0.250     0    4.501599E-03   -3.751333E-03  1.0000
  0.300  -0.200     0    4.701048E-03   -3.134032E-03  1.0000
  0.300  -0.150     0    4.858025E-03   -2.429013E-03  1.0000
  0.300  -0.100     0    4.971132E-03   -1.657044E-03  1.0000
  0.300  -0.050     0    5.039385E-03   -8.398976E-04  1.0000
  0.300   0.000     0    5.062201E-03    0.000000E+00  1.0000
  0.300   0.050     0    5.039385E-03    8.398976E-04  1.0000
  0.300   0.100     0    4.971132E-03    1.657044E-03  1.0000
  0.300   0.150     0    4.858025E-03    2.429013E-03  1.0000
  0.300   0.200     0    4.701048E-03    3.134032E-03  1.0000
  0.300   0.250     0    4.501599E-03    3.751333E-03  1.0000
  0.300   0.300     0    4.261518E-03    4.261518E-03  1.0000
  0.300   0.350     0    3.983110E-03    4.646962E-03  1.0000
  0.300   0.400     0    3.669192E-03    4.892256E-03  1.0000
  0.300   0.450     0    3.323134E-03    4.984701E-03  1.0000
  0.300   0.500     0    2.948922E-03    4.914870E-03  1.0000
  0.350  -0.500     0    3.150846E-03   -4.501208E-03  1.0000
  0.350  -0.450     0    3.576579E-03   -4.598458E-03  1.0000
  0.350  -0.400     0    3.970886E-03   -4.538156E-03  1.0000
  0.350  -0.350     0    4.329020E-03   -4.329020E-03  1.0000
  0.350  -0.300     0    4.646962E-03   -3.983110E-03  1.0000
  0.350  -0.250     0    4.921359E-03   -3.515257E-03  1.0000
  0.350  -0.200     0    5.149462E-03   -2.942550E-03  1.0000
  0.350  -0.150     0    5.329080E-03   -2.283891E-03  1.0000
  0.350  -0.100     0    5.458547E-03   -1.559585E-03  1.0000
  0.350  -0.050     0    5.536690E-03   -7.909557E-04  1.0000
  0.350   0.000     0    5.562815E-03    0.000000E+00  1.0000
  0.350   0.050     0    5.536690E-03    7.909557E-04  1.0000
  0.350   0.100     0    5.458547E-03    1.559585E-03  1.0000
  0.350   0.150     0    5.329080E-03    2.283891E-03  1.0000
  0.350   0.200     0    5.149462E-03    2.942550E-03  1.0000
  0.350   0.250     0    4.921359E-03    3.515257E-03  1.0000
  0.350   0.300     0    4.646962E-03    3.983110E-03  1.0000
